,index,time,mod_B,Bx,By,Bz,r_sat,posX,posY,posZ
1220,8867,2.4631944444444445,26.0186172192144,12.227999999999998,20.173,-10.977,1930.6195579346459,3962.8733999999995,-3027.2059,1853.4471
1221,8868,2.4634722222222223,24.9306660360288,11.165000000000001,19.259999999999998,-11.222,1931.9670848564965,3965.4764999999998,-3027.2067,1851.7459
1222,8869,2.46375,24.507572646021067,11.264000000000001,18.41,-11.611,1933.3144326401252,3968.0782999999997,-3027.2066,1850.0442000000003
1223,8870,2.464027777777778,24.751606291309663,11.317,17.346,-13.553,1934.6617144890522,3970.679,-3027.2056,1848.3419000000001
1224,8871,2.4643055555555557,24.804692398818414,11.156,16.77,-14.477,1936.0090953389233,3973.2787,-3027.2038000000002,1846.6390999999999
1225,8872,2.4645833333333336,26.07417101270911,11.540000000000001,17.155,-15.887,1937.3563679457852,3975.8772,-3027.2011,1844.9358
1226,8873,2.4648611111111114,25.173578887397003,10.577,17.144,-15.097000000000003,1938.703588144485,3978.4745000000003,-3027.1976,1843.232
1227,8874,2.465138888888889,23.266512501877028,9.378,16.546,-13.402000000000001,1940.050772792002,3981.0706999999993,-3027.1932,1841.5277
1228,8875,2.465416666666667,22.431278964874025,8.972,16.866,-11.756,1941.3979953480382,3983.6659,-3027.1879,1839.8229
1229,8876,2.4656944444444444,22.541997560109888,8.895,17.87,-10.473,1942.7450528026966,3986.2598,-3027.1818000000003,1838.1174999999998
1230,8877,2.4659722222222222,22.806022209056977,9.191,17.702,-11.058000000000002,1944.0921278913538,3988.8525999999997,-3027.1749,1836.4116
1231,8878,2.46625,23.233456458305984,9.997,16.893,-12.429,1945.4391630642835,3991.4443,-3027.1671,1834.7051999999999
1232,8879,2.4665277777777783,23.23828128326189,9.952,16.642,-12.806999999999999,1946.7861567767352,3994.0349,-3027.1584000000003,1832.9982999999997
1233,8880,2.4668055555555557,22.429023384891284,8.92,16.937,-11.689,1948.1331651346177,3996.6243999999997,-3027.1488999999997,1831.2909
1234,8881,2.4670833333333335,22.3232650165696,8.332,17.096,-11.689000000000002,1949.4800550481273,3999.2127,-3027.1385,1829.583
1235,8882,2.467361111111111,22.240239072456035,7.672,17.305,-11.675,1950.8269227088756,4001.7998999999995,-3027.1273,1827.8745000000004
1236,8883,2.467638888888889,22.36622171936959,7.491,16.732000000000003,-12.812999999999999,1952.1737445922213,4004.386,-3027.1152,1826.1654999999998
1237,8884,2.4679166666666665,21.991939273288295,7.58,16.063000000000002,-12.968,1953.5205766036336,4006.971,-3027.1023,1824.4560000000001
1238,8885,2.468194444444445,21.687581815407636,7.260000000000001,15.657,-13.134,1954.8673085502173,4009.5548000000003,-3027.0886,1822.7459
1239,8886,2.468472222222222,21.829153281792678,7.348999999999999,15.565999999999999,-13.424000000000001,1956.214100586904,4012.1376000000005,-3027.0739999999996,1821.0354
1240,8887,2.4687500000000004,21.52918247402813,7.419,16.131,-12.175999999999998,1957.5607334973422,4014.7192000000005,-3027.0585,1819.3243000000002
1241,8888,2.469027777777778,21.46719562495297,7.192,17.317999999999998,-10.45,1958.9073307639605,4017.2996000000007,-3027.0422,1817.6128
1242,8889,2.4693055555555556,21.578387103766584,6.815,17.794,-10.126999999999999,1960.2539737241236,4019.879,-3027.0251,1815.9007000000001
1243,8890,2.4695833333333335,21.69542527815484,7.677,17.682,-9.955000000000002,1961.6004884336132,4022.4572,-3027.0071,1814.1881
1244,8891,2.4698611111111113,21.209636771995882,8.176,17.404,-8.95,1962.9469486531962,4025.0343000000003,-3026.9882,1812.475
1245,8892,2.470138888888889,20.528057506739405,8.754000000000001,16.377,-8.75,1964.2934100445243,4027.6103000000003,-3026.9685,1810.7614
