,time,mod_B,Bx,By,Bz,fft_filtered,fft,freq
57998,16.110277777777778,3.5099420991024557,-0.03178553227013382,3.3168848468142262,1.1475879626260563,8362441230.484635,8532903482.878351,0.0
57999,16.110555555555557,3.6661661857834225,-0.1380920348277587,3.4448630510883573,1.24684547997942,2235648127.363462,2248200830.515461,0.6488824801730353
58000,16.110833333333336,3.812889025475804,-0.23683825131006955,3.561736123723811,1.34017392463482,582282270.769145,573103881.4224483,1.2977649603460706
58001,16.111111111111114,3.9367591882248827,-0.3214152809140571,3.656894745981831,1.4219303569719777,264334275.32037795,259304424.23990464,1.9466474405191059
58002,16.11138888888889,4.026799823003655,-0.3867364807964375,3.7219231930096828,1.4875615800026782,66175385.64917865,65997402.35759224,2.595529920692141
58003,16.111666666666668,4.075613964880033,-0.42972894154918706,3.751374715803386,1.5339980342722828,8243866.3789943885,8959351.568672568,3.2444124008651762
58004,16.111944444444447,4.080040860388239,-0.4495570671041524,3.74318241198743,1.5598773337805383,12123662.081971856,12408135.42532675,3.8932948810382118
58005,16.112222222222222,4.041238728317602,-0.44756926628904303,3.698683628230424,1.565577091486645,21016490.846827794,20309833.42214506,4.542177361211247
58006,16.1125,3.9642541640120506,-0.4269998598160961,3.622289213430412,1.553062474876527,6924103.105947468,6603094.968566477,5.191059841384282
58007,16.11277777777778,3.857195119939927,-0.3924877743071484,3.520868989481131,1.525578283542974,50986915.91876594,51426770.69154738,5.839942321557317
58008,16.113055555555558,3.7301559730561396,-0.3494891310677505,3.4029480448986873,1.4872341894644923,14675647.953910256,14510430.994547943,6.4888248017303525
58009,16.113333333333333,3.5940526476440753,-0.3036633905830706,3.277815615612023,1.442542120461984,61407925.76939958,62030179.6417271,7.137707281903388
58010,16.113611111111112,3.4595159503134125,-0.260305056292398,3.154643106237473,1.3959651716321255,32796569.175307702,32513605.633425944,7.7865897620764235
58011,16.11388888888889,3.3359641824870376,-0.22387830958253968,3.0416945357863447,1.3515287197475188,48962756.15638042,49393204.03967922,8.435472242249459
58012,16.11416666666667,3.230933451414144,-0.19769316523502278,2.9456942701205997,1.3125294841888082,46945506.82134069,46614752.25995179,9.084354722422495
58013,16.114444444444445,3.1496911706090254,-0.18374110202544627,2.8713948187368787,1.2813607893836672,34534575.43344554,34393020.85773946,9.733237202595529
58014,16.114722222222223,3.095107851573995,-0.1826877370432792,2.8213631517047846,1.2594553464936504,37836451.09052491,38177293.43878263,10.382119682768565
58015,16.115000000000002,3.06773169059671,-0.1940020550829266,2.79597969462139,1.2473325440233751,16544431.342270263,16666567.293459168,11.0310021629416
58016,16.11527777777778,3.066008834921492,-0.216187899490975,2.7936228027950127,1.244726718454321,14269735.186959866,14259083.127714144,11.679884643114635
58017,16.115555555555556,3.0866101630886096,-0.24707533453190955,2.8109959690007456,1.2507668608535316,12487040.358422248,12653270.920717543,12.32876712328767
58018,16.115833333333335,3.1248413403518334,-0.28412776236135906,2.8435473122966455,1.2641770049158045,8488592.050029458,8265335.646808348,12.977649603460705
58019,16.116111111111113,3.175112898762788,-0.3247250389786014,2.885931517131464,1.283469846695849,11442766.422729503,11817836.859156039,13.626532083633741
58020,16.116388888888892,3.231436088965617,-0.3663922277277297,2.932471971894901,1.3071128744607114,5855549.373155214,5655529.533195795,14.275414563806777
58021,16.116666666666667,3.287902898629225,-0.4069564949111107,2.977592491139655,1.3336546924796038,4661479.204285105,4800807.472279184,14.924297043979811
58022,16.116944444444446,3.3391132557476393,-0.4446289638570561,3.016200078590904,1.3618074405426135,4619785.263167878,4674274.311021496,15.573179524152847
58023,16.11722222222222,3.3805256627851565,-0.4780215303478513,3.0440093240360375,1.3904878311062578,1987505.1742691577,1902583.797609708,16.22206200432588
58024,16.1175,3.408720510594291,-0.5061179325964545,3.057803058351374,1.4188236726202021,772424.2231190027,824840.8467797502,16.870944484498917
58025,16.11777777777778,3.421571955303133,-0.528221814663725,3.0556227421358217,1.446134854559777,3365846.161430523,3252334.4683743343,17.519826964671953
58026,16.118055555555557,3.4183244780179343,-0.5439020780452672,3.0368780883891,1.4718981767693,947802.8372375431,943106.4303305551,18.16870944484499
58027,16.118333333333332,3.3995686907577185,-0.5529494631218499,3.0023626113897732,1.4957048252052236,732605.4136508221,788192.5826550778,18.817591925018025
58028,16.11861111111111,3.3671130874789332,-0.5553509388307903,2.9541639550634655,1.5172182457429966,2099334.584792082,1996987.0023347668,19.466474405191057
58029,16.11888888888889,3.3237572084443103,-0.5512824302483976,2.8954666591185316,1.536138824689326,327588.6658392365,344193.5589314513,20.115356885364093
58030,16.11916666666667,3.272985957509405,-0.5411166327535946,2.830259094250731,1.5521801851660775,914654.213192468,893782.3468091857,20.76423936553713
58031,16.119444444444444,3.2186199776422537,-0.5254408620190785,2.7629717776020257,1.5650601960222397,482479.502363549,503808.96861445677,21.413121845710165
58032,16.119722222222222,3.164466962049864,-0.5050791080560211,2.698086443634699,1.5745081108667218,330991.71325595386,383950.7677026738,22.0620043258832
58033,16.12,3.114018568026722,-0.4811116915249933,2.6397603664501,1.5802874390478427,492300.50596314296,539178.7624838727,22.710886806056234
58034,16.12027777777778,3.0702258409675656,-0.45488476194770394,2.591507120161614,1.5822317826552572,78750.1350100254,77459.24311624921,23.35976928622927
58035,16.120555555555555,3.035366363728893,-0.42800090415399034,2.5559644557243857,1.5802879133796077,803944.1526025616,751029.8197323725,24.008651766402306
58036,16.120833333333334,3.010996158454921,-0.4022825252233454,2.534765263261086,1.5745576192363298,1706474.478386917,1681802.357137364,24.65753424657534
