,index,time,mod_B,Bx,By,Bz,r_sat,posX,posY,posZ
48,73673,20.464861111111112,46.6863810762839,-41.004999999999995,15.653,15.911999999999997,499.7348763691749,191.362,-2269.375,3152.6726
49,73674,20.46513888888889,46.68079230261629,-41.1,15.420999999999998,15.877,500.68367252928766,194.981,-2270.9391,3152.4952
50,73675,20.465416666666666,46.65594227962822,-41.178,15.179000000000002,15.834999999999999,501.6333738675934,198.59980000000002,-2272.5015,3152.3154999999997
51,73676,20.465694444444445,46.573717201872554,-41.06699999999999,15.199000000000002,15.862,502.58411687456993,202.2184,-2274.0623,3152.1336
52,73677,20.465972222222224,46.5065275095873,-40.949,15.229999999999999,15.940000000000001,503.5357642760888,205.8369,-2275.6214,3151.9494000000004
53,73678,20.466249999999995,46.454680076392734,-40.864,15.278,15.961000000000002,504.48837193734835,209.4553,-2277.1789,3151.7629
54,73679,20.466527777777777,46.4248585458265,-40.789,15.376999999999999,15.970999999999998,505.4419374579933,213.0736,-2278.7347999999997,3151.5741000000003
55,73680,20.466805555555553,46.40786629441177,-40.711,15.337,16.158,506.39639381694707,216.6917,-2280.2889999999998,3151.383
56,73681,20.46708333333333,46.400308425699066,-40.567,15.382,16.453,507.351877818489,220.3096,-2281.8416,3151.1897
57,73682,20.46736111111111,46.404765541913896,-40.39999999999999,15.450999999999999,16.808,508.30825241423355,223.92739999999998,-2283.3925,3150.9941
58,73683,20.46763888888889,46.379121315523,-40.198,15.537,17.139000000000003,509.2655683159834,227.54500000000002,-2284.9417999999996,3150.7961999999998
59,73684,20.467916666666664,46.330121292739996,-40.007,15.637,17.360999999999997,510.2237699055643,231.1625,-2286.4894,3150.596
60,73685,20.468194444444443,46.26065744236672,-39.876999999999995,15.623,17.487000000000002,511.1829875168493,234.77979999999997,-2288.0353999999998,3150.3936000000003
61,73686,20.46847222222222,46.18261087249182,-39.897,15.343,17.482999999999997,512.1431442092451,238.397,-2289.5798,3150.1889
62,73687,20.468749999999996,46.08608632765425,-39.968,15.027000000000001,17.34,513.1041722093136,242.01400000000004,-2291.1225,3149.9818999999998
63,73688,20.469027777777775,45.98480223943559,-40.095,14.524000000000001,17.206,514.0661277959632,245.6308,-2292.6636,3149.7726
64,73689,20.469305555555554,45.926581801828014,-40.312,13.855999999999998,17.094,515.0289495902631,249.24740000000003,-2294.2030000000004,3149.5609999999997
65,73690,20.469583333333333,45.863584105475226,-40.549,13.255,16.839,515.9927801868332,252.8639,-2295.7408000000005,3149.3472
66,73691,20.469861111111108,45.79937454813111,-40.804,12.687000000000001,16.482,516.9574708256129,256.48019999999997,-2297.2769,3149.1311
67,73692,20.47013888888889,45.748259977839595,-41.057,12.141,16.119,517.9231581439315,260.09630000000004,-2298.8113999999996,3148.9128
68,73693,20.470416666666665,45.734983601177774,-41.314,11.648,15.785,518.889700196895,263.7122,-2300.3442000000005,3148.6922000000004
69,73694,20.47069444444444,45.75528544332338,-41.589,11.131,15.492,519.8572338850181,267.3279,-2301.8754,3148.4693999999995
70,73695,20.470972222222223,45.784228114056916,-41.788,10.75,15.309999999999999,520.8256234532623,270.94350000000003,-2303.4049,3148.2443
71,73696,20.471249999999998,45.811668491771826,-41.882999999999996,10.639999999999999,15.209,521.7949116805567,274.5588,-2304.9328,3148.0169
