Tiempo de ejecución de KNN: 6684.349898576736 
y_pred, y_prob 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
1, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
1, 0.6 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 0.6 
0, 0.8 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
1, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
1, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 0.8 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
1, 0.6 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
1, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.6 
0, 0.8 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
1, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 0.6 
0, 1.0 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.6 
0, 0.8 
1, 0.8 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 0.8 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
1, 0.6 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
1, 0.6 
0, 1.0 
0, 1.0 
0, 0.8 
1, 0.6 
0, 1.0 
0, 0.8 
1, 0.6 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 0.8 
0, 0.8 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 0.8 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
0, 1.0 
