,index,time,mod_B,Bx,By,Bz,r_sat,posX,posY,posZ
1412,59303,16.47319444444444,3.1261960910985738,2.866,-0.155,-1.2390000000000003,2347.028028812806,4234.252,-3570.1345,1494.3051
1413,59304,16.47347222222222,3.0732788679194085,2.707,-0.013000000000000001,-1.4550000000000003,2348.3490300598505,4236.597500000001,-3570.1987,1492.5745000000002
1414,59305,16.47375,3.110922210535005,2.6700000000000004,0.23600000000000004,-1.5790000000000002,2349.6698319204233,4238.942,-3570.262,1490.8436000000002
1415,59306,16.474027777777774,3.0539680744893194,2.606,0.181,-1.5820000000000003,2350.9905699413093,4241.2856,-3570.3244999999997,1489.1124
1416,59307,16.474305555555553,3.0674844742883383,2.564,0.098,-1.6810000000000003,2352.311143086282,4243.628200000001,-3570.3862,1487.3808000000001
1417,59308,16.47458333333333,3.0406798581896126,2.543,0.12900000000000003,-1.6620000000000004,2353.6316129340057,4245.969800000001,-3570.4472,1485.6488
1418,59309,16.47486111111111,3.056167698278352,2.561,0.11200000000000002,-1.6640000000000004,2354.951980005391,4248.3105000000005,-3570.5073,1483.9166
1419,59310,16.475138888888885,3.1330781988325795,2.623,0.14900000000000002,-1.7070000000000003,2356.2721797102436,4250.6502,-3570.5665999999997,1482.184
1420,59311,16.475416666666668,3.048300182068689,2.483,0.14900000000000002,-1.7620000000000005,2357.5922374811494,4252.9889,-3570.6251,1480.4511
1421,59312,16.47569444444444,2.8748942589250133,2.266,0.030000000000000027,-1.7690000000000001,2358.912200570574,4255.3267,-3570.6828,1478.7178
1422,59313,16.475972222222218,2.8177803321053965,2.041,0.08200000000000002,-1.941,2360.2320198725856,4257.6635,-3570.7396999999996,1476.9842
1423,59314,16.47625,2.7124676956601714,2.152,0.024000000000000014,-1.6510000000000002,2361.5517064503642,4259.9994,-3570.7957,1475.2503
1424,59315,16.476527777777775,2.5943313203983798,2.145,-0.173,-1.4490000000000003,2362.8712839341456,4262.3343,-3570.851,1473.516
1425,59316,16.476805555555554,2.650454112034389,2.2510000000000003,-0.10899999999999999,-1.3950000000000002,2364.1907152968934,4264.6682,-3570.9055,1471.7814
1426,59317,16.477083333333333,2.5541019948310604,2.206,0.07600000000000003,-1.2850000000000004,2365.510048221812,4267.001200000001,-3570.9592000000002,1470.0464
1427,59318,16.47736111111111,2.5550197650898907,2.179,0.02300000000000002,-1.3340000000000003,2366.8291965499166,4269.3332,-3571.012,1468.3112
