,index,time,mod_B,Bx,By,Bz,r_sat,posX,posY,posZ
986,21742,6.039861111111111,21.411121105631064,8.429,19.055,-4.929,1166.7601514773046,3658.8206999999993,-1447.5844000000002,2297.161
987,21743,6.0401388888888885,20.971490504968884,8.058,18.711000000000002,-4.977,1168.0490394517383,3661.7979,-1446.8418,2295.4411
988,21744,6.040416666666667,20.589918795371684,7.718000000000001,18.316000000000003,-5.3759999999999994,1169.3381352903352,3664.7733999999996,-1446.0984999999998,2293.7201
989,21745,6.040694444444444,20.42544087651476,7.404999999999999,18.147000000000002,-5.7490000000000006,1170.627468302108,3667.7472000000002,-1445.3546000000001,2291.998
990,21746,6.040972222222222,20.48038153941474,7.106,18.326,-5.754,1171.917186001024,3670.7194000000004,-1444.6100000000001,2290.275
991,21747,6.04125,20.55248301300843,6.8340000000000005,18.661,-5.241,1173.2072174182601,3673.69,-1443.8647999999998,2288.5508999999997
992,21748,6.041527777777778,20.73143444144664,6.675,19.082,-4.595,1174.497498892892,3676.6589,-1443.1189,2286.8258
993,21749,6.041805555555555,21.174344688797337,6.638,19.745,-3.7979999999999996,1175.7880902527825,3679.6262,-1442.3724,2285.0996
994,21750,6.042083333333333,21.793510249613302,6.932,20.361,-3.5120000000000005,1177.0788776734205,3682.5917999999997,-1441.6252,2283.3723
995,21751,6.042361111111111,22.190476470774577,7.589,20.446,-4.0969999999999995,1178.3699405794034,3685.5557,-1440.8773999999999,2281.6440000000002
996,21752,6.042638888888889,22.33412944352208,8.209,20.141,-5.0760000000000005,1179.661245849204,3688.5179000000003,-1440.1289,2279.9147000000003
997,21753,6.042916666666667,22.557502654327674,8.759,19.907,-5.986,1180.952790628154,3691.4784,-1439.3797,2278.1844
998,21754,6.0431944444444445,22.57174811573087,9.065000000000001,19.548000000000002,-6.7219999999999995,1182.2447173187156,3694.4373,-1438.63,2276.4530999999997
