,index,time,mod_B,Bx,By,Bz,r_sat,posX,posY,posZ
0,74453,20.68125,12.331861943761778,5.733,-8.027000000000001,7.400999999999999,1267.979672679079,3763.7826999999997,727.8774,-2645.0268
1,74454,20.68152777777778,12.217376395937059,5.8420000000000005,-7.891,7.270999999999999,1266.6961749589268,3763.3434,730.3827,-2642.7005
2,74455,20.681805555555556,12.170461166282896,5.854,-8.053,7.0,1265.412854702485,3762.9025,732.8877,-2640.3729999999996
3,74456,20.682083333333335,12.096151784761963,5.828,-8.302000000000001,6.590000000000001,1264.1298268374057,3762.46,735.3924,-2638.0445
4,74457,20.682361111111113,11.662597352219617,5.7379999999999995,-8.122,6.093,1262.8469797342723,3762.0159,737.8968,-2635.7148
5,74458,20.682638888888892,11.158276927913198,5.678,-7.758,5.664,1261.5644532426645,3761.5703000000003,740.4009,-2633.384
6,74459,20.682916666666667,11.072078621469412,5.598,-7.765000000000001,5.563999999999999,1260.2820869597444,3761.1230000000005,742.9046999999999,-2631.0521
7,74460,20.683194444444446,11.466060701042881,5.572,-8.541999999999998,5.24,1258.9998912844885,3760.6741,745.4081,-2628.719
8,74461,20.683472222222225,11.596771878415131,5.462000000000001,-9.357,4.135,1257.71795634792,3760.2236000000003,747.9113,-2626.3848000000003
9,74462,20.683750000000003,11.646242355369392,5.6160000000000005,-9.751999999999999,2.9989999999999997,1256.4362524239145,3759.7715,750.4141,-2624.0495
10,74463,20.68402777777778,12.14007005745848,5.724,-10.429999999999998,2.415,1255.1547968748455,3759.3178,752.9166,-2621.7131
11,74464,20.684305555555554,12.380042043547348,5.445,-10.946,1.95,1253.8735353866869,3758.8625,755.4188,-2619.3755
12,74465,20.684583333333332,12.581355849033123,5.1770000000000005,-11.369,1.4949999999999999,1252.5925100765585,3758.4056000000005,757.9206,-2617.0368
13,74466,20.68486111111111,12.434021111450633,4.8870000000000005,-11.376000000000001,1.144,1251.31173861847,3757.9471000000003,760.4221,-2614.697
14,74467,20.68513888888889,12.075699400034765,4.692,-11.056,1.254,1250.031223190411,3757.487,762.9233,-2612.3561
15,74468,20.685416666666665,11.911948623126278,4.74,-10.778,1.8059999999999998,1248.7508849437259,3757.0252,765.4242,-2610.0141
16,74469,20.685694444444444,11.52011887959495,4.657,-10.283,2.299,1247.4708311677955,3756.5618999999997,767.9248,-2607.6709
17,74470,20.685972222222222,10.947663266651931,4.603,-9.509,2.871,1246.191022128935,3756.097,770.425,-2605.3266
18,74471,20.686249999999998,10.454404382842666,4.6690000000000005,-8.660999999999998,3.533,1244.911476624578,3755.6305,772.9249000000001,-2602.9811999999997
19,74472,20.68652777777778,10.069363981900743,4.593,-8.008999999999999,4.019,1243.6321154161174,3755.1623,775.4245000000001,-2600.6347
20,74473,20.686805555555555,9.871512852648271,4.287,-7.554,4.691,1242.352965290348,3754.6925,777.9238,-2598.2870000000003
21,74474,20.687083333333334,10.159674699516714,4.277,-7.49,5.369000000000001,1241.0741485708068,3754.2212,780.4227,-2595.9382
