,index,time,mod_B,Bx,By,Bz,r_sat,posX,posY,posZ
1009,76189,21.79513888888889,42.156423733518956,-13.034,36.891,15.695000000000002,719.7021031758102,3342.6367,575.4282000000001,2319.7187000000004
1010,76190,21.795416666666668,42.15870130827087,-13.264,36.68,16.0,720.7913392320149,3345.0457,577.5203,2317.6551000000004
1011,76191,21.795694444444447,41.99635309166738,-13.714000000000002,36.206,16.271,721.8812691431325,3347.4527000000003,579.612,2315.59
1012,76192,21.795972222222225,41.90550533044555,-14.294,35.795,16.446,722.9717836276828,3349.8574999999996,581.7032999999999,2313.5235000000002
1013,76193,21.796250000000004,41.68881294784009,-14.670000000000002,35.257,16.724,724.063057214324,3352.2603000000004,583.7943,2311.4556000000002
1014,76194,21.796527777777776,41.5167372152485,-15.019,34.69199999999999,17.162,725.1549493314936,3354.661,585.885,2309.3862
1015,76195,21.796805555555558,41.38447120599706,-15.190999999999999,34.25,17.574,726.2475670950677,3357.0597000000002,587.9752000000001,2307.3154
1016,76196,21.797083333333333,41.42822384558623,-15.425,34.141,17.685000000000002,727.3408400635707,3359.4563000000003,590.0649999999999,2305.2432
1017,76197,21.797361111111112,41.50527168926858,-15.757000000000001,34.023,17.8,728.4347246531771,3361.8508,592.1545,2303.1695
1018,76198,21.79763888888889,41.405590649089895,-16.202,33.753,17.682000000000002,729.5292739460267,3364.2432,594.2437,2301.0944000000004
1019,76199,21.79791666666667,41.10146397635977,-16.386000000000003,33.412,17.448999999999998,730.6245528085094,3366.6336,596.3325,2299.0179
1020,76200,21.798194444444444,40.80351853700854,-16.2,33.17,17.384999999999998,731.7204770655707,3369.0218999999997,598.4209000000001,2296.9399999999996
1021,76201,21.798472222222223,40.7200722617237,-16.162,32.995999999999995,17.555,732.8170995837261,3371.4080999999996,600.5089,2294.8608
1022,76202,21.798750000000002,40.55710386603067,-15.936000000000002,32.777,17.793,733.9144582134057,3373.7923,602.5966000000001,2292.7802
1023,76203,21.799027777777777,40.5007108332681,-16.011000000000003,32.584,17.951,735.0123991352887,3376.1744,604.6839000000001,2290.6981
1024,76204,21.799305555555556,40.53208006012028,-16.097,32.507,18.084,736.1111120458188,3378.5544999999997,606.7708,2288.6147
1025,76205,21.799583333333334,40.658705808227595,-16.202,32.673,17.975,737.210416758863,3380.9325,608.8574,2286.5298000000003
1026,76206,21.799861111111113,40.710877833817335,-16.271,32.713,17.958,738.3104476543155,3383.3085,610.9437,2284.4435
1027,76207,21.800138888888892,40.58853809882785,-16.365,32.498,17.986,739.4111613189434,3385.6824,613.0296000000001,2282.3559
