yyyy-mm-dd,BS time,MPB time,ThetaBn (deg) (Cyril),beta_proton (Halekas),,beta_proton (Halekas),,,,Pdyn_proton,time,
2018-10-19,13:17:15,12:27:14,72.6,0.205
2018-10-20,8:57:59,9:18:32,20.2,0.229
2018-10-20,20:06:39,19:04:40,84.8,0.237
2018-10-23,18:31:31,17:19:50,79,0.509
2018-10-25,9:44:18,9:01:17,16,0.262
2018-10-25,7:43:21,8:06:17,84,0.364
2018-10-27,16:37:19,17:11:37,75.4,0.398
2018-10-27,19:20:41,18:09:49,83.8,0.34
2018-10-28,10:22:28,10:58:24,83.6,0.369
2018-10-30,10:11:24,8:42:40,18.2,1.108
2018-10-31,8:53:44,9:17:02,27.2,0.751
2018-11-03,9:35:16,8:34:32,74.6,0.545
2018-11-04,12:09:38,10:54:00,81.6,1.091
2018-11-05,10:11:32,8:54:44,81.9,0.358
2018-11-05,5:43:21,4:43:13,83.2,0.412
2018-11-06,9:49:06,10:32:29,26.1,0.767
2018-11-06,12:29:33,11:09:01,28.6,0.731
2018-11-06,22:48:09,23:34:39,81.4,0.247
2018-11-07,16:23:53,17:06:19,75.8,0.354
2018-11-08,1:11:50,2:02:50,28,0.309
2018-11-08,14:38:13,15:19:30,29.1,1.318
2018-11-11,19:31:37,18:37:38,23.6,0.348
2018-11-12,17:48:53,16:49:52,74.1,0.41
2018-11-14,9:24:09,8:33:07,82.2,0.235
2018-11-15,7:16:31,6:21:32,70.7,0.21
2018-11-16,9:50:11,8:45:30,80.7,0.352
2018-11-17,13:59:00,14:48:26,27.4,0.788
2018-11-18,3:18:25,3:54:07,18.6,0.52
2018-11-18,11:37:31,12:43:29,23.1,0.669
2018-11-20,7:28:00,8:46:19,16.9,1.214
2018-11-22,1:56:41,1:09:38,77.6,0.203
2018-11-23,17:32:10,16:37:15,76.1,0.33
2018-11-23,12:57:42,12:11:05,84.5,0.281
2018-11-26,11:02:03,10:26:12,71.3,0.835
2018-11-29,7:38:59,8:06:46,26.1,0.302
2018-11-29,11:48:55,12:24:46,74.2,0.326
2018-12-01,20:32:39,21:32:14,79.1,0.385
2018-12-03,12:25:09,13:08:09,70.6,0.554
2018-12-03,16:52:42,17:22:48,74,0.48
2018-12-05,6:11:03,5:33:51,21.5,0.445
2018-12-05,1:50:34,1:10:28,82,0.17
2018-12-06,22:07:16,21:03:44,23.4,0.787
2018-12-06,12:52:17,12:24:39,83.9,0.686
