,time,mod_B,Bx,By,Bz,r_sat
75,0.022083333333333333,2.35243268979157,1.3496000000000001,-1.7941999999999998,0.7024000000000001,6176.170489983282
76,0.022361111111111106,2.352808270981722,1.3456000000000001,-1.7923999999999998,0.7158,6176.087362086764
77,0.022638888888888892,2.356510449796478,1.3418999999999999,-1.795,0.7283,6176.0044859748505
78,0.02291666666666667,2.3583206122153957,1.3411,-1.7929,0.7407,6175.921105173833
79,0.023194444444444448,2.359180616230983,1.3387,-1.7907,0.753,6175.837360297022
80,0.023472222222222224,2.3606256225839797,1.3344000000000003,-1.7893999999999999,0.7681,6175.753867334468
81,0.02375,2.3638860442077156,1.3343,-1.7905000000000002,0.7757,6175.669869796824
82,0.024027777777777776,2.3676189494933513,1.3316999999999999,-1.7934,0.7847999999999999,6175.585508494109
83,0.02430555555555556,2.372525186378429,1.335,-1.794,0.7926000000000001,6175.501178536781
84,0.024583333333333332,2.375940767359321,1.3330000000000002,-1.7948,0.8043,6175.4163438178075
85,0.02486111111111111,2.380389073239919,1.3316999999999999,-1.7999,0.8082,6175.331981845002
86,0.025138888888888888,2.3818430552830305,1.3288,-1.8023000000000002,0.8119000000000001,6175.24703533486
87,0.025416666666666664,2.3828403849188056,1.3295000000000001,-1.8022,0.8139,6175.161584178188
88,0.025694444444444443,2.3835799084570253,1.3270000000000002,-1.8033000000000001,0.8177000000000001,6175.076384898341
89,0.025972222222222223,2.386124877285344,1.3222,-1.807,0.8247,6174.990065705542
90,0.02625,2.388731801605195,1.3178999999999998,-1.8095,0.8336,6174.905370254912
91,0.026527777777777775,2.392316713982494,1.3109,-1.8156999999999999,0.8414,6174.818183329953
92,0.026805555555555558,2.3940143483279295,1.3041999999999998,-1.8215000000000001,0.8441,6174.732398106917
93,0.02708333333333333,2.3957788942220857,1.2991,-1.8269,0.8453,6174.645715233901
94,0.02736111111111111,2.396344309568222,1.2979999999999998,-1.8293000000000001,0.8434,6174.559062145267
95,0.02763888888888889,2.3970071130474353,1.2975,-1.8302,0.8441,6174.471904334829
96,0.02791666666666667,2.397568459919341,1.2986000000000002,-1.829,0.8466,6174.384383530261
97,0.028194444444444446,2.39961449820591,1.2947,-1.8311000000000002,0.8538,6174.297114695712
98,0.02847222222222222,2.400122648949424,1.2941999999999998,-1.8270000000000002,0.8647,6174.209564213459
99,0.02875,2.401749272925881,1.2918,-1.8287,0.8692,6174.121819791391
100,0.029027777777777777,2.404106137424053,1.2885999999999997,-1.8310000000000002,0.8755999999999999,6174.033935713409
101,0.029305555555555557,2.4059816562060483,1.2828,-1.837,0.8767,6173.945547148529
102,0.029583333333333336,2.405569938704755,1.2903,-1.83,0.8792,6173.857187131149
103,0.029861111111111113,2.4069612647485625,1.2907,-1.8302,0.882,6173.767931618146
104,0.03013888888888889,2.406362279458353,1.2905000000000002,-1.8266,0.8881,6173.679461087771
105,0.030416666666666665,2.408518206283689,1.2941,-1.8266999999999998,0.8885000000000001,6173.589729274949
106,0.030694444444444448,2.409940071869008,1.2973,-1.8265,0.8881,6173.501006017828
107,0.030972222222222224,2.412295000616633,1.2995999999999999,-1.8270000000000002,0.8901,6173.411163919385
108,0.03125,2.413024187611885,1.3001999999999998,-1.8288,0.8875,6173.321573892405
109,0.03152777777777778,2.414337977583089,1.3013,-1.8313,0.8843,6173.231479310134
110,0.03180555555555555,2.4143928615699637,1.3037999999999998,-1.8294,0.8847,6173.141022817337
111,0.03208333333333333,2.413866187260594,1.3075999999999999,-1.8238999999999999,0.889,6173.050818529593
112,0.03236111111111111,2.41427755032432,1.3037,-1.8244,0.8948,6172.959884742471
113,0.03263888888888889,2.4165741122506468,1.3075999999999999,-1.8212000000000002,0.9018,6172.868589060139
114,0.032916666666666664,2.417475364921016,1.3088,-1.8191,0.9067000000000001,6172.778384524214
115,0.03319444444444444,2.417342478839107,1.3115999999999999,-1.8183,0.9039,6172.6868363534395
116,0.03347222222222222,2.415816329939013,1.3166,-1.8177,0.8937,6172.594926604212
117,0.03375,2.4155992838217184,1.3199,-1.8182999999999998,0.8869999999999999,6172.503882588315
118,0.034027777777777775,2.414660135505616,1.3241,-1.8174,0.88,6172.411720455382
119,0.034305555555555554,2.4142102828875536,1.3313,-1.8126000000000002,0.8778,6172.319810500405
120,0.03458333333333333,2.414244022463347,1.3337999999999999,-1.811,0.8774000000000001,6172.227313085015
121,0.034861111111111114,2.4134080384385896,1.3406,-1.8066000000000002,0.8738000000000001,6172.134537412941
122,0.035138888888888886,2.414246559488074,1.3471000000000002,-1.8052000000000001,0.8689999999999999,6172.041787485374
123,0.03541666666666667,2.412915168421799,1.3564999999999998,-1.798,0.8656,6171.948759599038
124,0.035694444444444445,2.4117234833205896,1.3614000000000002,-1.7923999999999998,0.8661999999999999,6171.855144028121
125,0.035972222222222225,2.4129195054953656,1.369,-1.7925,0.8573000000000001,6171.762393677678
126,0.03625,2.4127140195224133,1.3748999999999998,-1.7918,0.8487,6171.667912625842
127,0.03652777777777778,2.412993547442678,1.3816,-1.7907,0.8409,6171.574296800649
128,0.03680555555555556,2.4127485426376287,1.3885999999999998,-1.7886000000000002,0.8331000000000001,6171.480320246506
129,0.037083333333333336,2.409772812943162,1.3968,-1.7806,0.8279000000000001,6171.385611638703
130,0.03736111111111111,2.4092317219395896,1.4031,-1.7782000000000002,0.8208,6171.291382791385
131,0.03763888888888889,2.411072543495944,1.4149,-1.7752000000000001,0.8123999999999999,6171.196565612256
132,0.03791666666666667,2.4133209028224987,1.4199000000000002,-1.7744,0.8120999999999999,6171.102228631677
133,0.03819444444444444,2.415117367748408,1.4235,-1.7745999999999997,0.8107000000000001,6171.006402382931
