,time,mod_B,Bx,By,Bz,r_sat
73618,,,,,,451.2816424334774
73619,,,,,,452.17876390062065
73620,,,,,,453.077269399927
73621,,,,,,453.9758317695978
73622,,,,,,454.8769092806183
73623,,,,,,455.7782930481121
73624,,,,,,456.679971321415
73625,,,,,,457.5835944077171
73626,,,,,,458.48725454697933
73627,,,,,,459.39285549637
73628,,46.838655646271484,-38.534499999999994,23.2795,12.923499999999999,460.29930792697314
73629,,46.85945450226667,-38.762,22.990000000000002,12.836500000000001,461.20687665706373
73630,,46.897856203668844,-38.9645,22.767500000000002,12.76,462.1147181857382
73631,,46.96399763116424,-39.1255,22.6335,12.749,463.0242446019729
73632,,47.02260865264708,-39.188,22.5845,12.8595,463.93485645443343
73633,,47.05668144110887,-39.236,22.4915,13.0,464.8457429230448
73634,,47.069899184616915,-39.236000000000004,22.431,13.151499999999999,465.7583094168931
73635,,47.078834748217794,-39.17999999999999,22.439,13.3355,466.67195002349445
73636,,47.08887391412115,-39.0945,22.496,13.5245,467.5864315280778
73637,,47.101367395225374,-39.0335,22.524,13.6965,468.50142186560106
73638,,47.09849024384964,-38.979,22.5185,13.85,469.4178420368062
73639,,47.08909069253727,-38.912,22.526000000000003,13.993500000000001,470.3347470482463
73640,,47.080180184978055,-38.8495,22.52,14.145999999999997,471.25330158571523
73641,,47.07578522181016,-38.774,22.533499999999997,14.315999999999999,472.1729278499233
73642,,47.08605775067605,-38.7035,22.5585,14.5,473.0933812757198
73643,,47.096844721807,-38.6235,22.595499999999998,14.689499999999999,474.01406042491317
73644,,47.0850153711348,-38.5565,22.582,14.8475,474.9366431019412
73645,,47.08566238516774,-38.5,22.564,15.022499999999999,475.86004618263223
73646,,47.1055325917243,-38.4455,22.549500000000002,15.244499999999999,476.78448099179604
73647,,47.11780764212189,-38.417,22.491999999999997,15.437999999999999,477.70918049735155
73648,,47.11412611414967,-38.3335,22.5115,15.605,478.63548167537647
73649,,47.128300820738275,-38.2315,22.589,15.785,479.5628604474755
73650,,47.13258038236396,-38.0955,22.6685,16.011,480.4904405600282
73651,,47.12038738433716,-37.956,22.720999999999997,16.2305,481.41964160727593
73652,,47.09745116245676,-37.907,22.676,16.341,482.3499149384652
73653,,47.07651117330171,-37.901500000000006,22.591,16.411,483.2809582895338
73654,,47.06537226294933,-37.952,22.4425,16.466,484.21327219361956
73655,,47.04950744960036,-38.072,22.2025,16.469,485.1461473979789
73656,,47.02978978530523,-38.259,21.872000000000003,16.4215,486.080251327277
73657,,47.006692504897636,-38.446,21.539499999999997,16.357999999999997,487.0151824122913
73658,,46.993045046581095,-38.6255,21.2115,16.3245,487.9511376823302
73659,,46.97987051387008,-38.8375,20.798499999999997,16.314999999999998,488.8878426596275
73660,,46.95938050592235,-39.031,20.3775,16.325499999999998,489.82560458142007
73661,,46.93670569501017,-39.207,19.9705,16.3415,490.7643423562008
73662,,46.90268526694394,-39.348,19.605,16.3475,491.70467291612977
73663,,46.884259541449524,-39.49550000000001,19.2715,16.335500000000003,492.645200166784
73664,,46.88013460411564,-39.658500000000004,18.9335,16.324,493.58673407664173
73665,,46.86822576650411,-39.806,18.6295,16.2805,494.52904184456384
73666,,46.83947627269118,-39.9385,18.357,16.1825,495.4731180869194
73667,,46.80156065239705,-40.051,18.0835,16.1025,496.4180080484198
73668,20.464027777777776,46.77262123561176,-40.1925,17.729,16.06,497.362500493939
73669,20.464305555555555,46.72307889576627,-40.269,17.3995,16.0845,498.30991595281057
73670,20.464583333333334,46.68020427065417,-40.3735,17.0215,16.1025,499.2569267710728
73671,20.464861111111112,46.6560827974231,-40.509,16.641,16.09,500.2055077879613
73672,20.465138888888887,46.62382016469692,-40.591499999999996,16.3435,16.0935,501.15426277316465
73673,20.465416666666666,46.58983764996396,-40.63699999999999,16.059,16.1665,502.104583764517
73674,20.46569444444444,46.56361684298161,-40.6435,15.850999999999999,16.2795,503.0558318649714
73675,20.46597222222222,46.55076100613179,-40.637,15.693000000000001,16.4115,504.00810814797205
73676,20.46625,46.52717461333753,-40.6015,15.594999999999999,16.5255,504.96107968804836
73677,20.466527777777777,46.49653066896497,-40.5535,15.529000000000002,16.619000000000003,505.91502143147727
73678,20.466805555555553,46.446291329340816,-40.5275,15.401,16.661,506.8699305637033
73679,20.46708333333333,46.367747640466646,-40.482,15.271,16.672500000000003,507.8263899679996
73680,20.46736111111111,46.28878195092197,-40.4585,15.128499999999999,16.639999999999997,508.78300338366944
73681,20.46763888888889,46.21300892064917,-40.4795,14.901,16.5835,509.7411629944104
73682,20.467916666666664,46.16609880366761,-40.5505,14.616499999999998,16.532500000000002,510.6988263627022
73683,20.468194444444443,46.123454101465555,-40.629999999999995,14.296000000000001,16.4985,511.6594237799359
73684,20.468472222222218,46.08096848754375,-40.6855,14.0345,16.4675,512.6195778224173
73685,20.46875,46.04549012118342,-40.7285,13.796000000000001,16.4635,513.581267165469
73686,20.469027777777775,46.00874956190398,-40.756,13.592500000000001,16.462,514.5430955838588
73687,20.469305555555554,45.97214550409846,-40.798,13.384,16.426499999999997,515.507197544327
73688,20.46958333333333,45.93569027183547,-40.832499999999996,13.1865,16.3985,516.4714974876606
73689,20.46986111111111,45.91255697791183,-40.89,12.991499999999998,16.346,517.4366699686852
73690,20.47013888888889,45.876116645810384,-40.923500000000004,12.7705,16.334,518.4025592501662
73691,20.470416666666665,45.82468817133402,-40.937,12.534,16.339,519.369380937409
73692,20.470694444444444,45.77962187753411,-40.964,12.2785,16.339,520.3371323284041
73693,20.47097222222222,45.73892065298437,-41.004000000000005,12.0975,16.2595,521.3063301677316
73694,20.47125,45.70741656175724,-41.0745,11.872499999999999,16.1585,522.276451005604
73695,20.47152777777778,45.68607978640758,-41.184999999999995,11.5795,16.029,523.246687695103
73696,20.471805555555555,45.693476903164196,-41.3415,11.217,15.904499999999999,524.2184324650898
73697,20.472083333333334,45.73044863381509,-41.524,10.834,15.8005,525.1910932267697
73698,20.472361111111113,45.803614273330005,-41.7265,10.486,15.7135,526.1643797606043
73699,20.472638888888888,45.908636436949415,-41.951499999999996,10.178999999999998,15.622499999999999,527.1386513567982
73700,20.472916666666666,46.041428556247034,-42.181,9.9095,15.5685,528.113755927835
73701,20.473194444444445,46.153932968924764,-42.3515,9.7395,15.545999999999998,529.0903562341136
73702,20.47347222222222,46.23951288941094,-42.459500000000006,9.646,15.563999999999998,530.0677811276591
73703,20.47375,46.321672967413434,-42.5495,9.575500000000002,15.606,531.0453804873882
73704,20.474027777777778,46.40464589079417,-42.6445,9.436,15.677999999999997,532.0243897680916
73705,20.474305555555553,46.46978399185863,-42.749,9.2265,15.711000000000002,533.0042929017936
73706,20.47458333333333,46.528799049620865,-42.86,8.945,15.745999999999999,533.9842857160779
73707,20.47486111111111,46.582393374535826,-42.957499999999996,8.685500000000001,15.784,534.9664792063136
73708,20.47513888888889,46.64875333275263,-43.059,8.4625,15.8245,535.9488397161663
73709,20.475416666666668,46.720512703201365,-43.173500000000004,8.193,15.866,536.9320005767322
73710,20.475694444444443,46.820080697282016,-43.3245,7.964,15.864499999999998,537.915834352787
73711,20.47597222222222,46.921418757855136,-43.4875,7.718999999999999,15.839000000000002,538.9012610252789
73712,20.476249999999997,47.02173803678465,-43.642,7.4719999999999995,15.830000000000002,539.8874420797447
73713,20.47652777777778,47.12407877348904,-43.768,7.226000000000001,15.9005,540.8744093783225
73714,20.476805555555554,47.2136238282977,-43.875,6.989,15.977,541.8622463825436
73715,20.477083333333333,47.27376780784455,-43.9445,6.780499999999999,16.0535,542.8506562354023
73716,20.477361111111108,47.32215891366327,-43.979,6.593500000000001,16.179,543.8408193392038
73717,20.477638888888887,47.37211326033493,-44.0065,6.4405,16.3115,544.8309550891877
73718,20.477916666666665,47.40524159046128,-44.001,6.3355,16.463,545.8225448185308
73719,20.478194444444444,47.41754627508681,-43.963499999999996,6.2604999999999995,16.6265,546.8149914092241
73720,20.478472222222223,47.388753341378376,-43.881,6.2385,16.77,547.807400534914
73721,20.47875,47.329572959197506,-43.786500000000004,6.182,16.8705,548.8020536278068
73722,20.479027777777777,47.283017379393215,-43.712,6.1725,16.936500000000002,549.7967575837697
73723,20.479305555555555,47.2352094152233,-43.636,6.1985,16.9895,550.7929039666583
73724,20.479583333333334,47.19900810928128,-43.594,6.2155,16.9905,551.7890002477616
73725,20.47986111111111,47.18304809462823,-43.5805,6.2585,16.964999999999996,552.7868319961194
73726,20.480138888888888,47.18648409237544,-43.525,6.516,17.02,553.7851050381837
73727,20.480416666666667,47.220585582455456,-43.4605,6.810499999999999,17.1635,554.7843127184683
73728,20.480694444444442,47.25322552217996,-43.4,7.0625,17.304,555.784252943633
73729,20.48097222222222,47.27080171998355,-43.331,7.285500000000001,17.432,556.7856202550774
