,time,mod_B,Bx,By,Bz,r_sat,posX,posY,posZ
80443,22.345416666666665,2.280980655332263,-0.6165,-1.7395,-1.3405,5593.245847080512,1011.17245,-52.114,-8925.4942
80444,22.345694444444444,1.988179695098006,-0.6865,-1.3835,-1.252,5593.695306892989,1012.3112500000001,-53.3515,-8925.810150000001
80445,22.345972222222223,1.6314985442837515,-0.8225000000000001,-0.8965,-1.087,5594.144517937281,1013.45,-54.589,-8926.12555
80446,22.34625,1.4029102786707353,-0.8190000000000002,-0.6439999999999999,-0.9395,5594.593474726278,1014.58865,-55.826499999999996,-8926.4404
80447,22.346527777777773,1.1418332846786348,-0.8940000000000001,-0.4224999999999999,-0.571,5595.042182672521,1015.7272500000001,-57.064,-8926.7547
80448,22.346805555555555,0.9367547704709062,-0.7890000000000001,-0.11149999999999989,-0.49250000000000005,5595.490691557296,1016.8658000000001,-58.3015,-8927.0685
80449,22.347083333333334,0.941612048563526,-0.6050000000000001,-0.2059999999999999,-0.6915,5595.939001200318,1018.0043,-59.539,-8927.3818
80450,22.34736111111111,1.0597259079592232,-0.5890000000000001,-0.17699999999999988,-0.8629999999999999,5596.387062041737,1019.14275,-60.7765,-8927.69455
80451,22.347638888888888,1.2285237075449542,-0.7185,-0.0039999999999998925,-0.9964999999999999,5596.834923571327,1020.28115,-62.013999999999996,-8928.0068
80452,22.347916666666666,1.4056697691847826,-0.7835,0.3105000000000001,-1.125,5597.282530490561,1021.41945,-63.2515,-8928.3185
80453,22.34819444444444,1.593960554718968,-1.0055,0.34400000000000014,-1.188,5597.729888355269,1022.5577000000001,-64.489,-8928.629649999999
80454,22.34847222222222,1.4382876972288958,-1.1145,0.21650000000000008,-0.883,5598.177046942715,1023.6958999999999,-65.7265,-8928.9403
80455,22.34875,1.4965848622781135,-1.381,0.1550000000000001,-0.5555,5598.623950649236,1024.834,-66.964,-8929.2504
80456,22.349027777777778,1.356945282610909,-1.2465,0.23600000000000013,-0.48149999999999993,5599.070660646723,1025.9721,-68.2015,-8929.560000000001
80457,22.349305555555553,1.0754068997360953,-1.0,0.14000000000000012,-0.37,5599.517165362411,1027.1101,-69.439,-8929.8691
80458,22.349583333333335,0.7845485963278502,-0.7175,0.13000000000000012,-0.2895,5599.963420413547,1028.24805,-70.67645,-8930.17765
